i,dataset,timestep,class_id_random,loss_before,loss_after,delta_loss,emb_l2_before,emb_l2_after,cos_emb_before_after,emb_vec_before,emb_vec_after
0,Wauplin/example-space-to-dataset-image,560,365,0.03917812556028366,0.03917812556028366,0.0,0.09590393304824829,0.09590393304824829,0.9999997360268076,"[-0.009765625, -0.00403594970703125, -0.00946807861328125, 0.0948486328125]","[-0.009765625, -0.00403594970703125, -0.00946807861328125, 0.0948486328125]"
1,Wauplin/example-space-to-dataset-image,432,322,0.02110268920660019,0.02110268920660019,0.0,0.034512247890233994,0.034512247890233994,0.9999994861312861,"[0.027923583984375, -0.005039215087890625, 0.0191802978515625, -0.004253387451171875]","[0.027923583984375, -0.005039215087890625, 0.0191802978515625, -0.004253387451171875]"
2,Wauplin/example-space-to-dataset-image,148,742,0.19248241186141968,0.19248241186141968,0.0,0.023675965145230293,0.023675965145230293,0.9999992129962825,"[-0.0226898193359375, 0.005413055419921875, 0.0009455680847167969, 0.003940582275390625]","[-0.0226898193359375, 0.005413055419921875, 0.0009455680847167969, 0.003940582275390625]"
3,Wauplin/example-space-to-dataset-image,67,595,0.30940377712249756,0.30940377712249756,0.0,0.05569830536842346,0.05569830536842346,0.999999694496557,"[-0.048248291015625, 0.016204833984375, -0.022613525390625, 0.000659942626953125]","[-0.048248291015625, 0.016204833984375, -0.022613525390625, 0.000659942626953125]"
4,Wauplin/example-space-to-dataset-image,156,123,0.1757514327764511,0.17574435472488403,-7.078051567077637e-06,0.042983878403902054,0.04297149181365967,0.9999991419044321,"[-0.037750244140625, 0.009552001953125, -0.0165252685546875, 0.00762939453125]","[-0.037750244140625, 0.0095672607421875, -0.0164947509765625, 0.00760650634765625]"
5,Wauplin/example-space-to-dataset-image,619,214,0.11824822425842285,0.11824822425842285,0.0,0.13528667390346527,0.13528667390346527,0.9999999183279292,"[0.0770263671875, -0.05224609375, -0.023956298828125, 0.09521484375]","[0.0770263671875, -0.05224609375, -0.023956298828125, 0.09521484375]"
6,Wauplin/example-space-to-dataset-image,787,96,0.7065292596817017,0.7064815759658813,-4.76837158203125e-05,0.6241917014122009,0.6242400407791138,0.9999999785443594,"[0.190185546875, -0.5517578125, 0.1917724609375, -0.110595703125]","[0.190185546875, -0.5517578125, 0.19189453125, -0.11065673828125]"
7,Wauplin/example-space-to-dataset-image,163,638,0.16960474848747253,0.16960115730762482,-3.591179847717285e-06,0.013176089152693748,0.013142050243914127,0.9999982842672773,"[-0.00711822509765625, 0.005855560302734375, -0.008392333984375, 0.004268646240234375]","[-0.0070953369140625, 0.005847930908203125, -0.00836944580078125, 0.0042572021484375]"
8,Wauplin/example-space-to-dataset-image,97,73,0.27216145396232605,0.27216747403144836,6.020069122314453e-06,0.0729895681142807,0.07296886295080185,0.9999995117972766,"[-0.054840087890625, 0.0219268798828125, -0.032379150390625, 0.0281219482421875]","[-0.054840087890625, 0.021942138671875, -0.0323486328125, 0.0280914306640625]"
9,Wauplin/example-space-to-dataset-image,594,942,0.08352603018283844,0.08352603018283844,0.0,0.0671989768743515,0.0671989768743515,0.9999996752698784,"[-0.0241241455078125, -0.01451873779296875, -0.0582275390625, -0.0182342529296875]","[-0.0241241455078125, -0.01451873779296875, -0.0582275390625, -0.0182342529296875]"
