idx,dataset,split,is_member,url,caption,loss_before,loss_after,delta_loss,emb_l2_before,emb_l2_after,cos_emb_before_after,emb_vec_before,emb_vec_after
0,conceptual_captions,train,1,http://lh6.ggpht.com/-IvRtNLNcG8o/TpFyrudaT6I/AAAAAAAAM6o/_11MuAAKalQ/IMG_3422.JPG?imgmax=800,a very typical bus station,4.304266452789307,6.273616313934326,1.9693498611450195,84.5043716430664,86.26252746582031,0.9926647543907166,"[ 2.49761,-1.52846, 1.74594,...,-0.55729,-0.22476,-1.53806]","[ 2.27677,-1.27861, 1.55225,...,-0.7045 ,-0.19911,-1.49591]"
1,conceptual_captions,train,1,http://78.media.tumblr.com/3b133294bdc7c7784b781b45eb9af7be/tumblr_nbirmjpEme1tkk0fco1_500.jpg,sierra looked stunning in this top and this skirt while performing with person at their former university,4.906974792480469,5.776665210723877,0.8696904182434082,79.18399810791016,81.02605438232422,0.988337516784668,"[ 1.62786,-2.14003, 0.93561,...,-1.08438, 1.04998,-0.55157]","[ 1.46885,-2.25857, 0.93307,...,-0.92042, 1.06655,-0.7242 ]"
2,conceptual_captions,train,1,https://thumb1.shutterstock.com/display_pic_with_logo/152074/125938838/stock-photo-interior-design-of-modern-living-room-with-fireplace-in-a-new-house-125938838.jpg,interior design of modern living room with fireplace in a new house,2.645012855529785,3.4681355953216553,0.8231227397918701,86.02972412109375,87.44657897949219,0.9894633889198303,"[-0.55692,-1.22497, 0.60791,...,-0.93132, 1.11465,-1.10442]","[-0.74784,-1.00056, 0.31645,...,-0.85932, 1.0044 ,-1.06865]"
3,conceptual_captions,train,1,https://thumb1.shutterstock.com/display_pic_with_logo/324673/177023534/stock-photo-cybernetic-scene-isolated-on-white-background-sci-fi-robot-arm-made-of-compound-metallic-as-a-177023534.jpg,cybernetic scene isolated on white background .,4.932101249694824,6.438990592956543,1.5068893432617188,82.0259017944336,85.79510498046875,0.9689539670944214,"[-1.3962 ,-0.72671, 1.4086 ,...,-1.00164, 1.78929, 0.01451]","[-1.43691,-0.40976, 1.34377,...,-0.98792, 1.85444, 0.04493]"
4,conceptual_captions,train,1,https://prismpub.com/wp-content/uploads/2016/11/Chicago-Riverwalk_graphic_13.jpg,the jetty : different types of plants to establish a variety of ecosystems .,3.711921215057373,4.402824401855469,0.6909031867980957,65.90717315673828,65.60366821289062,0.9896222949028015,"[ 0.77989,-1.06002, 0.31672,...,-1.04749, 0.34546,-0.55526]","[ 0.73468,-0.96832, 0.09151,...,-1.1285 , 0.49417,-0.71202]"
5,conceptual_captions,train,1,https://thumb1.shutterstock.com/display_pic_with_logo/701386/201063638/stock-photo-traditional-ornamental-floral-paisley-bandanna-you-can-use-this-pattern-in-the-design-of-carpet-201063638.jpg,traditional ornamental floral paisley bandanna .,5.070540904998779,6.428759574890137,1.3582186698913574,65.97055053710938,69.52922821044922,0.9686020612716675,"[ 0.68885,-0.06904, 0.85702,..., 0.09272, 0.03086,-0.90069]","[ 0.64698, 0.14074, 0.51037,..., 0.00655,-0.00746,-0.76361]"
6,conceptual_captions,train,1,https://media.gettyimages.com/photos/bryan-mccabe-of-the-toronto-maple-leafs-skates-against-the-new-jersey-picture-id73480619?k=6&m=73480619&s=612x612&w=0&h=99aa-OK9NQ_tJCllsuA5vifiFfxD-EW13TNYlg9m9D8=,# of the sports team skates against sports team during their game .,5.34760046005249,6.245229244232178,0.8976287841796875,77.41993713378906,80.08675384521484,0.9880693554878235,"[ 0.34759,-2.2763 , 1.56368,...,-0.44246, 2.12568,-1.41162]","[ 0.26285,-2.11528, 1.51633,...,-0.49233, 2.2101 ,-1.22478]"
7,conceptual_captions,train,1,http://i.dailymail.co.uk/i/pix/2016/08/10/15/371349E500000578-0-image-a-15_1470837871650.jpg,a flight was traveling when the animal got free on tuesday night,5.123478412628174,5.898631572723389,0.7751531600952148,83.23396301269531,87.03382110595703,0.990378201007843,"[ 2.43397,-2.69505, 1.19278,...,-0.61897, 0.8563 ,-1.14244]","[ 2.43777,-2.6695 , 1.22192,...,-0.65344, 1.18504,-1.19118]"
8,conceptual_captions,train,1,http://images.gmanews.tv/webpics/2016/11/640_2_2016_11_29_17_19_15.jpg,celebrities start decorating for the christmas season lifestyle,4.058946132659912,4.714894771575928,0.6559486389160156,60.88194274902344,60.84222412109375,0.9900460243225098,"[ 0.24611,-0.15523, 1.11548,...,-0.56834, 0.41772,-0.21935]","[ 0.29846,-0.03543, 1.07786,...,-0.74576, 0.35375,-0.08469]"
9,conceptual_captions,train,1,https://ep1.pinkbike.org/p4pb6973204/p4pb6973204.jpg,all shots by by person and rider shots can be found on his website .,4.969759941101074,5.709555625915527,0.7397956848144531,70.70445251464844,74.47373962402344,0.9735333919525146,"[ 0.61851,-1.33936, 1.47522,..., 0.04691, 0.26676,-0.28639]","[ 0.79069,-1.32599, 1.48581,...,-0.08106, 0.444  ,-0.32943]"
